source,round,log,m,recv,experts,layout,rank0_us,mean_rank_us,max_rank_us,tflops,hbm_gbs
baseline,17,round_17_mimo.log,256,2037,48,BN256-standard,555.2,553.1,555.2,277.0,1919.0
baseline,17,round_17_mimo.log,512,4097,48,BN256-standard,1033.0,1028.4,1033.0,299.4,1076.0
baseline,17,round_17_mimo.log,1024,8140,48,BN256-standard,1542.0,1539.6,1545.0,398.5,780.0
baseline,17,round_17_mimo.log,2048,16409,48,BN128-split,2853.0,2849.5,2853.0,434.2,487.0
baseline,17,round_17_mimo.log,4096,32686,48,BN128-split,5434.0,5430.6,5434.0,454.1,323.0
baseline,17,round_17_mimo.log,8192,65538,48,BN128-split,10212.0,10203.4,10212.0,484.5,244.0
baseline,18,round_18_mimo.log,8,64,39,BN256-standard,518.2,515.9,521.6,9.3,1601.0
baseline,18,round_18_mimo.log,16,118,45,BN256-standard,558.4,558.9,564.3,16.0,1716.0
baseline,18,round_18_mimo.log,32,241,48,BN256-standard,567.8,564.7,571.0,32.0,1805.0
baseline,18,round_18_mimo.log,64,546,48,BN256-standard,532.5,532.2,537.0,77.4,1937.0
baseline,18,round_18_mimo.log,128,984,48,BN256-standard,556.6,566.5,577.5,133.5,1871.0
baseline,18,round_18_mimo.log,256,2037,48,BN256-standard,559.7,559.3,564.2,274.8,1903.0
baseline,18,round_18_mimo.log,512,4097,48,BN256-standard,1068.0,1062.4,1073.0,289.6,1041.0
baseline,18,round_18_mimo.log,1024,8140,48,BN256-standard,1549.0,1550.6,1556.0,396.7,776.0
baseline,18,round_18_mimo.log,2048,16409,48,BN128-split,2909.0,2901.1,2914.0,425.9,477.0
baseline,18,round_18_mimo.log,4096,32686,48,BN128-split,5448.0,5447.1,5453.0,453.0,322.0
baseline,18,round_18_mimo.log,8192,65538,48,BN128-split,10174.0,10174.9,10180.0,486.3,245.0
baseline,19,round_19_mimo.log,8,64,39,BN256-standard,499.0,496.2,499.7,9.7,1663.0
baseline,19,round_19_mimo.log,16,118,45,BN256-standard,560.1,561.7,565.3,15.9,1711.0
baseline,19,round_19_mimo.log,32,241,48,BN256-standard,588.8,628.5,642.0,30.9,1740.0
baseline,19,round_19_mimo.log,64,546,48,BN256-standard,566.1,561.2,569.6,72.8,1822.0
baseline,19,round_19_mimo.log,128,984,48,BN256-standard,567.4,596.2,609.1,130.9,1835.0
baseline,19,round_19_mimo.log,256,2037,48,BN256-standard,585.9,583.1,591.5,262.5,1818.0
baseline,19,round_19_mimo.log,512,4097,48,BN256-standard,1051.0,1045.2,1052.0,294.3,1058.0
baseline,19,round_19_mimo.log,1024,8140,48,BN256-standard,1580.0,1572.6,1580.0,389.0,761.0
baseline,19,round_19_mimo.log,2048,16409,48,BN128-split,2871.0,2866.9,2872.0,431.5,484.0
baseline,19,round_19_mimo.log,4096,32686,48,BN128-split,5469.0,5461.6,5469.0,451.2,321.0
baseline,19,round_19_mimo.log,8192,65538,48,BN128-split,10211.0,10203.4,10213.0,484.6,244.0
baseline,20,round_20_mimo.log,8,64,39,BN256-standard,482.9,511.7,520.5,10.0,1718.0
baseline,20,round_20_mimo.log,16,118,45,BN256-standard,551.1,576.1,582.4,16.2,1739.0
baseline,20,round_20_mimo.log,32,241,48,BN256-standard,559.0,581.4,591.4,32.5,1833.0
baseline,20,round_20_mimo.log,64,546,48,BN256-standard,528.8,550.2,558.5,77.9,1951.0
baseline,20,round_20_mimo.log,128,984,48,BN256-standard,534.9,554.3,558.9,138.9,1947.0
